Pixel	Intensity
0	145099.718398
1	143208.157618
2	162301.852343
3	126576.454788
4	107054.903630
5	87716.206748
6	79026.632229
7	70422.327288
8	64061.058288
9	56874.438603
10	50149.531855
11	44328.526037
12	41262.333631
13	38096.497594
14	40740.469077
15	43776.568015
16	44391.449651
17	45924.994664
18	46521.982901
19	45990.597708
20	44566.682059
21	42990.593124
22	41582.195846
23	42420.392384
24	44139.572673
25	43650.083334
26	43541.641249
27	43273.374983
28	43530.188394
29	43366.340892
30	43556.920120
31	43340.013918
32	41547.678182
33	40117.774489
34	38214.103763
35	37387.457686
36	35506.100560
37	34796.352577
38	33242.666673
39	33096.070352
40	33054.780230
41	32542.417863
42	32074.222662
43	32503.283788
44	31700.921016
45	31178.672724
46	31431.676686
47	32897.422574
48	34296.237025
49	34624.127990
50	35168.913079
51	35309.911441
52	35506.833631
53	36072.197590
54	36730.022540
55	37145.880722
56	37172.347213
57	37235.622142
58	37314.781873
59	37269.552203
60	37808.643795
61	37684.361249
62	36073.043532
63	34844.955399
64	32016.262270
65	31123.351939
66	29125.772584
67	28063.747300
68	26639.539726
69	26206.162214
70	24907.659340
71	24196.889270
72	23568.875395
73	21459.106164
74	19889.786028
75	18430.869931
76	16935.072095
77	16387.961561
78	17066.000843
79	19392.342550
80	22347.111152
81	26350.907139
82	29131.879866
83	30298.499239
84	29950.917610
85	27423.629005
86	24305.163479
87	23852.189589
88	25218.813447
89	26301.842278
90	26878.464171
91	26566.314478
92	25283.392467
93	24126.131509
94	23182.639945
95	21624.519430
96	20729.200298
97	20015.944054
98	19417.735588
99	19593.165830
100	19488.173877
101	19452.150139
102	19079.365291
103	19208.022923
104	19927.049243
105	20498.244357
106	21223.857575
107	21805.081887
108	23047.704314
109	24212.529935
110	24968.683679
111	25451.044481
112	25801.875217
113	26441.992106
114	26558.698459
115	26416.064996
116	26660.077661
117	26765.195536
118	27360.500924
119	28035.527164
120	28348.563234
121	28472.200400
122	28455.155519
123	27930.260238
124	26861.645144
125	25872.434970
126	24904.601334
127	24192.782466
128	23654.979755
129	23108.944910
130	22789.332460
131	22339.684463
132	22233.405606
133	22402.247300
134	21874.169034
135	21042.320837
136	19934.258486
137	19586.295939
138	19479.157452
139	19136.315026
140	18502.357221
141	17798.710751
142	17267.122871
143	17344.452066
144	17627.063526
145	17936.188816
146	18278.128211
147	18953.063596
148	19437.500627
149	20023.926068
150	20224.068880
151	20623.863665
152	20875.636496
153	21018.136560
154	21192.578872
155	21677.811437
156	22558.702749
157	23754.536705
158	24554.674847
159	25692.229587
160	26107.385843
161	25734.447887
162	24719.655424
163	23365.342709
164	21798.312866
165	20067.447609
166	18221.371389
167	16410.412055
168	15232.822896
169	14728.554391
170	14443.476551
171	13684.444747
172	12803.403778
173	12220.706330
174	11609.773456
175	11041.147997
176	10731.509547
177	10376.802665
178	10033.807778
179	9728.233769
180	9406.663176
181	9470.638947
182	9829.723759
183	10336.752106
184	11024.645622
185	11656.135686
186	12368.348928
187	13188.716816
188	14546.790237
189	15907.365354
190	16978.643123
191	17621.279167
192	18170.510538
193	18251.310248
194	17721.881264
195	17246.140005
196	16442.449904
197	15876.743019
198	15224.886628
199	14598.073156
200	14098.063189
201	13536.917475
202	12990.264699
203	12602.608350
204	12102.165377
205	11863.041823
206	11628.102687
207	11776.370849
208	11847.099849
209	12172.700431
210	12458.864836
211	12729.122698
212	12825.885187
213	13391.182299
214	14277.694450
215	15136.487959
216	15813.018679
217	16098.644737
218	15972.430845
219	15703.442611
220	14971.161276
221	14392.825786
222	13836.122270
223	13190.766364
224	12570.143256
225	12202.214901
226	11924.329209
227	11523.656272
228	11136.846025
229	11129.913976
230	11071.575920
231	10911.046821
232	10982.309293
233	11040.474420
234	10952.005371
235	11008.861335
236	11266.359542
237	11440.226509
238	11658.637644
239	11461.336678
240	11067.011238
241	10696.233161
242	10212.908634
243	9785.653672
244	9390.891623
245	9413.068064
246	9239.587324
247	9135.564187
248	9080.273501
249	9111.719719
250	8988.438342
251	8890.737488
252	8835.891384
253	8838.409934
254	8916.108030
255	9080.665851
256	9206.466046
257	9424.718558
258	9441.965332
259	9309.354378
260	9090.562972
261	8981.818833
262	8835.321832
263	8649.064894
264	8456.271515
265	8285.612144
266	8247.383000
267	8147.278887
268	8169.063132
269	8227.982853
270	8359.384564
271	8343.004043
272	8504.738666
273	8710.486043
274	8771.016438
275	8648.348370
276	8415.788768
277	8421.264581
278	8335.969595
279	8343.608403
280	8320.027897
281	8224.976558
282	8193.931436
283	8185.651672
284	8224.042309
285	8123.945332
286	8170.831467
287	8248.071170
288	8324.767768
289	8199.509252
290	7915.387459
291	7643.386308
292	7352.394698
293	7168.923369
294	7085.533883
295	7112.580191
296	7053.378396
297	7024.053720
298	7002.665047
299	7013.331959
300	6963.554080
301	6808.347293
302	6624.785766
303	6524.398010
304	6308.738237
305	6050.332138
306	5824.405474
307	5681.431037
308	5620.362007
309	5649.763562
310	5644.417856
311	5680.792303
312	5687.034220
313	5627.937693
314	5411.830925
315	5284.507517
316	5030.843643
317	4785.412139
318	4547.135552
319	4419.300053
320	4314.248269
321	4251.075396
322	4264.509640
323	4240.309943
324	4198.864237
325	4077.330435
326	3900.910634
327	3654.230895
328	3445.371346
329	3331.023981
330	3102.038114
331	2890.828234
332	2754.103342
333	2735.482616
334	2715.178576
335	2719.755093
