Pixel	Intensity
0	6521.959317
1	10487.471160
2	9028.500980
3	7473.755894
4	6031.197162
5	4552.048167
6	3756.038786
7	3522.027858
8	3081.064602
9	2933.346557
10	2540.729328
11	2087.683027
12	1999.015843
13	1900.436520
14	1893.271549
15	1942.750160
16	2078.363713
17	2176.309330
18	2149.024955
19	2117.400142
20	2006.249549
21	1919.884257
22	1902.443668
23	1985.513755
24	2020.781416
25	2014.372428
26	2048.316946
27	1989.102378
28	2048.748291
29	2019.831680
30	1992.875420
31	1997.855424
32	1935.582153
33	1874.959581
34	1779.026133
35	1721.928957
36	1647.963972
37	1581.976663
38	1549.666323
39	1507.742555
40	1472.852219
41	1501.006760
42	1485.081110
43	1462.113745
44	1453.529850
45	1465.143687
46	1474.589802
47	1541.430773
48	1577.018191
49	1606.229932
50	1601.051248
51	1635.891966
52	1663.497949
53	1652.521957
54	1665.315384
55	1718.048868
56	1745.080044
57	1725.482033
58	1718.625540
59	1718.708758
60	1698.272041
61	1662.734519
62	1620.472298
63	1552.193204
64	1472.262928
65	1388.000019
66	1315.964345
67	1250.230098
68	1210.518262
69	1182.422361
70	1151.599764
71	1093.908544
72	1045.390836
73	975.766638
74	889.460795
75	820.557737
76	755.967551
77	712.181782
78	740.412388
79	850.599521
80	1021.541458
81	1202.558797
82	1334.436459
83	1389.328231
84	1337.946550
85	1206.235931
86	1065.513936
87	1054.624871
88	1123.394580
89	1225.685373
90	1253.704094
91	1193.280104
92	1118.743377
93	1076.102913
94	1048.741271
95	1000.285295
96	940.666858
97	903.455022
98	888.728656
99	877.991977
100	860.287474
101	859.182727
102	867.680129
103	880.417483
104	898.896284
105	930.166293
106	963.400351
107	999.160520
108	1050.718950
109	1075.129177
110	1115.848344
111	1150.575880
112	1159.670115
113	1150.634433
114	1174.332983
115	1189.315907
116	1192.764832
117	1213.251157
118	1236.974322
119	1252.463606
120	1271.395096
121	1266.522007
122	1258.356147
123	1234.962814
124	1202.862497
125	1151.742456
126	1100.738551
127	1068.530283
128	1050.137182
129	1043.453418
130	1009.390520
131	987.137001
132	976.263404
133	985.616190
134	973.189418
135	923.265432
136	886.759716
137	878.867771
138	867.361054
139	842.907920
140	806.823563
141	783.317511
142	777.381526
143	775.428962
144	772.526166
145	785.167581
146	813.136544
147	824.141343
148	844.264396
149	873.453278
150	905.114783
151	916.393877
152	928.614730
153	943.518556
154	959.143083
155	965.320965
156	997.479616
157	1057.184878
158	1109.240620
159	1156.330708
160	1172.582165
161	1160.024550
162	1105.829232
163	1040.003049
164	983.799576
165	900.626953
166	812.654903
167	731.217959
168	686.146138
169	667.402327
170	646.221031
171	618.005203
172	577.600489
173	546.263359
174	523.180034
175	508.889268
176	482.314432
177	467.799702
178	448.811177
179	428.804795
180	414.787441
181	418.464466
182	435.459503
183	458.630784
184	485.550597
185	510.481432
186	538.858647
187	588.607228
188	642.881773
189	703.895144
190	754.607065
191	796.900445
192	826.205458
193	828.620043
194	804.773533
195	778.004051
196	743.436162
197	718.923607
198	683.809496
199	658.014731
200	633.077679
201	607.335205
202	573.835181
203	549.236657
204	528.764868
205	519.315644
206	515.639382
207	509.050589
208	519.441885
209	527.306897
210	534.750330
211	542.412139
212	563.682765
213	593.569276
214	638.139460
215	677.157737
216	708.297832
217	722.638389
218	727.278262
219	698.457423
220	668.225261
221	643.554964
222	601.945048
223	575.372798
224	551.111681
225	533.413242
226	513.388702
227	500.693402
228	493.594639
229	483.049555
230	471.960144
231	473.084887
232	474.849084
233	482.158281
234	484.792128
235	492.314910
236	501.657488
237	516.243222
238	529.836137
239	534.797240
240	516.188486
241	488.510280
242	463.295605
243	446.506002
244	429.929799
245	417.267562
246	407.948443
247	403.555584
248	393.407679
249	387.665698
250	387.556928
251	381.831403
252	381.543999
253	390.169457
254	398.077906
255	410.046835
256	427.063221
257	436.700248
258	434.846328
259	429.358096
260	421.322580
261	412.828802
262	396.572449
263	383.257299
264	373.634852
265	366.080854
266	357.533302
267	353.498741
268	355.269522
269	356.463097
270	362.223813
271	372.430375
