Pixel	Intensity
0	199944.875197
1	213951.177788
2	144449.918856
3	92628.530472
4	75667.081664
5	57697.355060
6	44129.766451
7	45612.814601
8	49679.355939
9	49268.680684
10	48691.042481
11	47684.990873
12	48665.467214
13	48923.943301
14	49197.599117
15	48979.591854
16	46300.343589
17	42910.288779
18	39731.053594
19	37648.824923
20	35894.138896
21	35944.851941
22	35139.177416
23	36056.053818
24	38818.717361
25	39347.048895
26	40172.382561
27	40828.028315
28	42362.965572
29	42157.140290
30	41050.301997
31	38517.983063
32	35001.221963
33	31325.979272
34	29226.837095
35	27655.562285
36	24801.689977
37	21697.692978
38	18146.171175
39	19059.492044
40	25503.293120
41	33876.923425
42	32761.531154
43	26178.778948
44	27436.751354
45	30553.260730
46	27444.318242
47	25323.937886
48	23121.184648
49	21693.977990
50	21313.424418
51	21358.536835
52	22072.059829
53	23842.651613
54	25968.117446
55	28061.045521
56	29046.180376
57	29181.530066
58	29848.037568
59	30391.875640
60	31288.622340
61	31099.002082
62	29077.739508
63	26855.497877
64	25729.437427
65	24783.910518
66	24500.460426
67	23757.518861
68	21684.438904
69	21118.116730
70	19874.959168
71	19192.377670
72	19422.794621
73	20106.016489
74	21458.364725
75	22439.114742
76	23065.265739
77	23707.139878
78	25124.889088
79	27571.093139
80	28768.895806
81	26525.383276
82	22968.207738
83	18966.719412
84	16367.463881
85	15505.542248
86	13832.207116
87	12579.033847
88	11665.207934
89	10907.124032
90	10415.212683
91	10882.409623
92	12062.619733
93	13775.700506
94	16380.914968
95	19181.165201
96	20311.705279
97	19482.391471
98	18096.803908
99	16534.531563
100	15175.924511
101	13885.591468
102	12893.205497
103	12699.158983
104	12904.799302
105	13572.148669
106	14357.675993
107	15976.344742
108	17773.718057
109	17605.303934
110	16135.002983
111	14700.167812
112	13436.928622
113	12506.600120
114	11929.948598
115	11856.212295
116	11956.588462
117	12138.673848
118	12648.085738
119	13062.142432
120	12225.491831
121	11000.981024
122	10132.155769
123	9841.561266
124	9865.072124
